metric,value,source
EU total textile waste 2020,6.95M tonnes,EEA
Post-consumer share,82%,EEA
Available for fibre recycling,494K tonnes (74%),Fashion for Good
Investment needed by 2030,EUR 6-7 billion,McKinsey
Current EU recycling rate,~15%,EEA
EU consumption per capita,19 kg,EEA
EU waste per capita,16 kg,EEA
Separate collection mandate,2025,EU WFD
Spain waste kg/capita,14 kg,EEA
Spain collection rate,~18%,EEA est.
Returns never reaching customer,22-44%,ETC CE 2024
EU countries with mandatory collection,>50%,EEA
