year,quarter,total_revenue_million_eur,total_transactions_million,clothing_pct_of_revenue,domestic_spain_pct,yoy_growth_pct,source,clothing_revenue_million_eur
2018,Q1,8958,135,5.0,42.0,32.8,CNMC,447.9
2018,Q2,9333,148,5.2,41.5,29.0,CNMC,485.3
2018,Q3,10116,170,4.8,41.0,29.9,CNMC,485.6
2018,Q4,11757,185,5.5,40.5,26.0,CNMC,646.6
2019,Q1,10969,195,5.3,41.0,22.4,CNMC,581.4
2019,Q2,11999,212,5.5,40.8,28.6,CNMC,659.9
2019,Q3,12200,225,5.0,40.5,20.6,CNMC,610.0
2019,Q4,13600,240,5.8,40.0,15.7,CNMC,788.8
2020,Q1,12243,250,8.0,40.6,11.6,CNMC,979.4
2020,Q2,12020,244,9.4,40.6,0.2,CNMC,1129.9
2020,Q3,13600,275,7.5,41.0,11.5,CNMC,1020.0
2020,Q4,14613,298,7.0,40.5,7.4,CNMC,1022.9
2021,Q1,13661,288,6.8,41.0,11.6,CNMC,928.9
2021,Q2,14060,302,6.5,40.5,17.0,CNMC,913.9
2021,Q3,14696,320,5.8,41.0,8.1,CNMC,852.4
2021,Q4,15300,340,6.5,40.0,4.7,CNMC,994.5
2022,Q1,15627,330,6.5,40.5,14.4,CNMC,1015.8
2022,Q2,18190,345,6.2,41.9,29.4,CNMC,1127.8
2022,Q3,18900,360,5.8,41.0,28.6,CNMC,1096.2
2022,Q4,19300,375,6.9,40.0,26.2,CNMC,1331.7
2023,Q1,19175,358,6.2,42.0,22.7,CNMC,1188.8
2023,Q2,20492,371,5.6,44.5,12.7,CNMC,1147.6
2023,Q3,21803,385,5.2,44.6,15.2,CNMC,1133.8
2023,Q4,22707,432,7.3,40.1,17.6,CNMC,1657.6
2024,Q1,21793,412,6.3,41.7,13.7,CNMC,1373.0
2024,Q2,23114,422,6.0,43.5,12.8,CNMC,1386.8
2024,Q3,24565,448,5.8,42.0,12.6,CNMC,1424.8
2024,Q4,25742,479,6.6,38.5,13.4,CNMC,1699.0
