country,waste_kg_per_capita,collected_separately_kg,in_mixed_waste_kg,collection_rate_pct,source
Germany,18.0,6.0,12.0,33.3,EEA/Eurostat 2020
France,16.5,3.5,13.0,21.2,EEA/Eurostat 2020
Italy,15.5,2.8,12.7,18.1,EEA/Eurostat 2020
Spain,14.0,2.5,11.5,17.9,EEA/Eurostat 2020
Poland,11.0,1.0,10.0,9.1,EEA/Eurostat 2020
Netherlands,22.0,7.5,14.5,34.1,EEA/Eurostat 2020
Belgium,19.0,8.0,11.0,42.1,EEA/Eurostat 2020
Sweden,13.0,4.0,9.0,30.8,EEA/Eurostat 2020
Austria,14.5,4.5,10.0,31.0,EEA/Eurostat 2020
Denmark,16.0,5.5,10.5,34.4,EEA/Eurostat 2020
Finland,12.0,3.0,9.0,25.0,EEA/Eurostat 2020
Portugal,13.0,2.0,11.0,15.4,EEA/Eurostat 2020
Czech Republic,10.0,1.5,8.5,15.0,EEA/Eurostat 2020
Romania,8.0,0.5,7.5,6.3,EEA/Eurostat 2020
Hungary,9.0,1.0,8.0,11.1,EEA/Eurostat 2020
EU-27 Avg,16.0,4.4,11.6,27.5,EEA/Eurostat 2020
