country,fashion_eur_per_capita,fashion_pct_retail,source
Luxembourg,1777,14.3,NIQ-GfK 2024
Switzerland,1500,12.0,NIQ-GfK 2024
Norway,1200,10.5,NIQ-GfK 2024
Austria,1050,11.5,NIQ-GfK 2024
Denmark,950,10.0,NIQ-GfK 2024
UK,920,14.4,NIQ-GfK 2024
Sweden,900,9.0,NIQ-GfK 2024
Germany,880,10.5,NIQ-GfK 2024
Belgium,850,11.0,NIQ-GfK 2024
Finland,700,5.0,NIQ-GfK 2024
France,820,11.0,NIQ-GfK 2024
Netherlands,800,10.0,NIQ-GfK 2024
Italy,780,12.0,NIQ-GfK 2024
Ireland,750,10.5,NIQ-GfK 2024
Spain,700,14.8,NIQ-GfK 2024
Portugal,450,11.0,NIQ-GfK 2024
Czech Republic,400,10.5,NIQ-GfK 2024
Greece,380,11.0,NIQ-GfK 2024
Poland,400,10.0,NIQ-GfK 2024
Hungary,350,10.5,NIQ-GfK 2024
EU Average,772,11.1,NIQ-GfK 2024
