year,avg_household_total_eur,avg_household_clothing_eur,clothing_pct,per_capita_clothing_eur,yoy_clothing_pct,source
2006,29383,1752,5.96,,,INE EPF
2007,30045,1783,5.93,,1.8,INE EPF
2008,30411,1690,5.56,,-5.2,INE EPF
2009,29672,1553,5.23,,-8.1,INE EPF
2010,29782,1502,5.04,,-3.3,INE EPF
2011,28152,1352,4.8,,-10.0,INE EPF
2012,27098,1227,4.53,,-9.3,INE EPF
2013,26154,1145,4.38,,-6.7,INE EPF
2014,26818,1154,4.3,,0.8,INE EPF
2015,27420,1193,4.35,,3.4,INE EPF
2016,28200,1234,4.38,,3.4,INE EPF
2017,29188,1282,4.39,,3.9,INE EPF
2018,29871,1326,4.44,,3.4,INE EPF
2019,30243,1380,4.56,570.0,4.1,INE EPF
2020,27408,1040,3.79,405.0,-24.6,INE EPF
2021,29244,1070,3.66,466.0,2.9,INE EPF
2022,31568,1220,3.87,499.0,14.0,INE EPF
2023,32617,1319,4.04,522.0,8.1,INE EPF
2024,34044,1432,4.21,573.0,8.5,INE EPF
